"lambda","m","rho","rho1","rho2","pq","p1","tq1","tq2","ts1","ts2","sd2"
1150,7,0.821428571,0.787181558,0.0342470126,0.532046103,0.958307984,0.00178571428,0.0099999999,0.00678571428,0.015,3.0
500,3,0.833333333,0.297752808,0.535580524,0.702247191,0.35730337,0.00166666666,0.01,0.00666666666,0.015,3.0
1000,6,0.833333333,0.706241774,0.127091558,0.58751645,0.847490129,0.00166666666,0.01,0.00666666666,0.015,3.0
300,2,0.75,0.357142857,0.392857142,0.642857142,0.476190476,0.0025,0.01,0.0075,0.015,3.0
100,1,0.5,0.4995,5.0E-4,0.5,0.999,0.00499500499,0.00999000999,0.00999500499,0.0149900099,2.99800199
