"λ","m","ρ","ρ1","ρ2","pq","p1","tq1","tq2","ts1","ts2","sd2"
550,5,0.88,0.201790693,0.678209306,0.718388375,0.229307606,0.00143999999,0.012,0.00944,0.02,2.5
800,7,0.914285714,0.158635274,0.75565044,0.757228253,0.173507331,0.00102857142,0.012,0.00902857142,0.02,2.5
700,7,0.8,0.768601137,0.031398862,0.48593761,0.960751422,0.0024,0.012,0.0104,0.02,2.5
1100,10,0.88,0.660550929,0.21944907,0.611008326,0.750626056,0.00144,0.012,0.00944,0.02,2.5
200,3,0.533333333,0.532799999,5.33333333E-4,0.273796791,0.998999999,0.00156276707,0.00334878658,0.00956276707,0.0113487865,1.41859832
