"lambda","m","rho","tq","ts","sd"
1150,7,0.821428571,0.00212818441,0.00712818441,1.42563688
500,3,0.833333333,0.00702247191,0.0120224719,2.40449438
1000,6,0.833333333,0.00293758225,0.00793758225,1.58751645
300,2,0.75,0.00642857142,0.0114285714,2.28571428
100,1,0.5,0.005,0.01,2.0
