label,E(ts)_l,E(ts)_r,E(tq)_l,E(tq)_r,util_l,util_r
http08_12,0.007123475,0.007131677,0.002123773,0.002131369,0.821330748,0.821452983
http12_15,0.012004826,0.012034616,0.007005253,0.007034406,0.833106697,0.833295467
http15_20,0.007932661,0.007943914,0.002932899,0.002943558,0.833235540,0.833381515
http20_24,0.011417237,0.011442348,0.006417432,0.006441751,0.749701462,0.750062340
http24_08,0.009994693,0.010020558,0.004995995,0.005017642,0.499714736,0.500353650
