label,E(ts)_l,E(ts)_r,E(ts1)_l,E(ts1)_r,E(ts2)_l,E(ts2)_r,E(tq)_l,E(tq)_r,E(tq1)_l,E(tq1)_r,E(tq2)_l,E(tq2)_r,util_l,util_r,util1_l,util1_r,util2_l,util2_r,sd2_l,sd2_r
http08_12,0.007123475,0.007131677,0.006782185,0.006787908,0.014960757,0.015034439,0.002123773,0.002131369,0.001782494,0.001787630,0.009960999,0.010033275,0.821330745,0.821452979,0.787070018,0.787190175,0.034242915,0.034280617,2.992311843,3.006719582
http12_15,0.012004826,0.012034616,0.006664554,0.006668502,0.014972069,0.015017861,0.007005253,0.007034406,0.001665085,0.001667194,0.009972726,0.010017975,0.833106697,0.833295467,0.297584463,0.297778854,0.535421402,0.535617445,2.994652413,3.003463175
http15_20,0.007932661,0.007943914,0.006664686,0.006668657,0.014977686,0.015031673,0.002932899,0.002943558,0.001664969,0.001668388,0.009977761,0.010030754,0.833235540,0.833381515,0.706136877,0.706288712,0.127051713,0.127139753,2.995665564,3.006134165
http20_24,0.011417237,0.011442348,0.007497781,0.007503637,0.014979459,0.015023757,0.006417432,0.006441751,0.002497683,0.002502250,0.009980041,0.010023761,0.749701462,0.750062340,0.356986983,0.357255440,0.392603348,0.392918032,2.996002552,3.004398561
http24_08,0.009994693,0.010020558,0.009989710,0.010015635,0.014794386,0.015153381,0.004995995,0.005017642,0.004990991,0.005012685,0.009833360,0.010168013,0.499714736,0.500353650,0.499220269,0.499857506,0.000487268,0.000503343,2.958203760,3.030399563
