label,seconds,m,lambda,mu,p1
http08_12,14400,7,1150,200,0.958307984
http12_15,10800,3,500,200,0.35730337
http15_20,18000,6,1000,200,0.847490129
http20_24,14400,2,300,200,0.476190476
http24_08,28800,1,100,200,0.999
